TrackingNum,Vendor Name,District,Route,AssignedCourier,MasterCity,MasterPostalCode,LatestEventStatus,SignatureRequired,Weight(Lbs),Length(ft),Width(ft),Height(ft),Volume(ft),Head-Contractor,Director
ABC7222781542,Mercury Logistics,M05,MUS60-P2A,Tyrion Lannister,SEGUIN,P2A 0B6,Assigned to Delivery Load,FALSE,1.1,0,0,0,0.011397,James Bond,Luke Skywalker
ABC7222783578,Mercury Logistics,M05,NEW11-L0G,Spectre,MOUNT ALBERT,L0G 1M0,Assigned to Delivery Load,FALSE,0.21,0,0,0,0.00295,Darth Vader,Luke Skywalker
ABC7222785634,Mercury Logistics,M03,SIM953-L4M,1933 King Kong,BARRIE,L4M 4C8,Assigned to Delivery Load,FALSE,0.36,0,0,0,0.009556,Darth Vader,Luke Skywalker
ABC7222785923,Mercury Logistics,M05,SIM941-L0G,1933 King Kong,TOTTENHAM,L0G 1W0,Assigned to Delivery Load,FALSE,0.56,0,0,0,0.003681,Darth Vader,Luke Skywalker
ABC7222786068,Mercury Logistics,M03,SIM953-L4M,1933 King Kong,BARRIE,L4M 6X3,Assigned to Delivery Load,FALSE,0.54,0,0,0,0.008307,Darth Vader,Luke Skywalker
ABC7322774954,Mercury Logistics,M08,KIT04-N2C,Sherlock Holmes,KITCHENER,N2C 0C2,Assigned to Delivery Load,FALSE,0.4,0,0,0,0.001907,Dorothy Gale,Princess Leia
ABC7322775081,Mercury Logistics,M08,KIT04-N2E,Sherlock Holmes,KITCHENER,N2E 0G7,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.001907,Dorothy Gale,Princess Leia
ABC7322775161,Mercury Logistics,M01,XTO20-M9C,Harry Potter,TORONTO,M9C 4T7,Assigned to Delivery Load,FALSE,0.5,0,0,0,0.003496,Rocky Balboa,Luke Skywalker
ABC7322775164,Mercury Logistics,M01,TOR89-M5V,Fred Flintstone,TORONTO,M5V 0M6,Assigned to Delivery Load,FALSE,0.4,0,0,0,0.002225,Rocky Balboa,Luke Skywalker
ABC7322775292,Mercury Logistics,M03,DUR916-L1E,Jon Snow,COURTICE,L1E 3G8,Assigned to Delivery Load,FALSE,0.2,0,0,0,0.002225,Vito Corleone,Luke Skywalker
ABC7322775543,Mercury Logistics,M07,BRA312-L7A,Justice League,BRAMPTON,L7A 3B9,Assigned to Delivery Load,FALSE,0.4,0,0,0,0.001907,Indiana Jones,Princess Leia
ABC7322776362,Mercury Logistics,M02,DUR908-L1M,John McClane,WHITBY,L1M 0H6,Assigned to Delivery Load,FALSE,0.4,0,0,0,0.00113,Vito Corleone,Luke Skywalker
ABC7322776566,Mercury Logistics,M07,OAK06-L6J,Jay Gatsby,OAKVILLE,L6J 7X7,Assigned to Delivery Load,FALSE,0.7,0,0,0,0.002472,Peter Pan,Princess Leia
ABC7322781534,Mercury Logistics,M05,DUR920-L0B,Atticus Finch,JANETVILLE,L0B 1K0,Assigned to Delivery Load,FALSE,0.11,0,0,0,0.000273,Vito Corleone,Luke Skywalker
ABC7322783498,Mercury Logistics,M03,SIM959-L4N,1933 King Kong,BARRIE,L4N 6K2,Assigned to Delivery Load,FALSE,0.31,0,0,0,0.006519,Darth Vader,Luke Skywalker
ABC7322785015,Mercury Logistics,M03,SIM955-L9S,1933 King Kong,INNISFIL,L9S 0C8,Assigned to Delivery Load,FALSE,0.11,0,0,0,0.002208,Darth Vader,Luke Skywalker
ABC7322785529,Mercury Logistics,M04,SIM943-L9Z,Tom Sawyer,WASAGA BEACH,L9Z 1R2,Assigned to Delivery Load,FALSE,0.72,0,0,0,0.007435,Darth Vader,Luke Skywalker
ABC7422775023,Mercury Logistics,M04,SIM941-L9R,1933 King Kong,ALLISTON,L9R 0P3,Assigned to Delivery Load,FALSE,0.4,0,0,0,0.001907,Darth Vader,Luke Skywalker
ABC7422775123,Mercury Logistics,M07,HAM05-L8H,Monsters Inc.,HAMILTON,L8H 6J7,Assigned to Delivery Load,FALSE,0.2,0,0,0,0.001907,Han Solo,Princess Leia
ABC7422775249,Mercury Logistics,M08,NIA05-L2T,Katniss Everdeen,ST CATHARINES,L2T 2T1,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.002225,Mickey Mouse,Princess Leia
ABC7422776339,Mercury Logistics,M05,MUS03-P0A,Optimus Prime,ARMOUR,P0A 1C0,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.00113,James Bond,Luke Skywalker
ABC7422776377,Mercury Logistics,M07,BRA312-L6X,Justice League,BRAMPTON,L6X 2J8,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.00113,Indiana Jones,Princess Leia
ABC7422776535,Mercury Logistics,M01,YOR07-L3P,Tony Montana,MARKHAM,L3P 3G1,Assigned to Delivery Load,FALSE,1.05,1,0,0,0.00565,Rocky Balboa,Luke Skywalker
ABC7422776591,Mercury Logistics,M08,MIL01-L9T,Mary Poppins,MILTON,L9T 6R5,Assigned to Delivery Load,FALSE,1.2,1,0,0,0.00565,Peter Pan,Princess Leia
ABC7422781297,Mercury Logistics,M05,MUS60-P2A,Tyrion Lannister,PARRY SOUND,P2A 1E1,Assigned to Delivery Load,FALSE,0.5,0,0,0,0.007071,James Bond,Luke Skywalker
ABC7422781976,Mercury Logistics,M03,SIM951-L4N,1933 King Kong,BARRIE,L4N 4T1,Assigned to Delivery Load,FALSE,0.16,0,0,0,0.001729,Darth Vader,Luke Skywalker
ABC7422783776,Mercury Logistics,M10,NIA15-L0S,Katniss Everdeen,FONTHILL,L0S 1E5,Assigned to Delivery Load,FALSE,0.24,0,0,0,0.009614,Mickey Mouse,Princess Leia
ABC7422785499,Mercury Logistics,M09,GEO10-L7G,Mary Poppins,GEORGETOWN,L7G 6E6,Assigned to Delivery Load,FALSE,1.24,0,0,0,0.004079,Peter Pan,Princess Leia
ABC7422785716,Mercury Logistics,M08,MIL01-L9E,Mary Poppins,MILTON,L9E 1P5,Assigned to Delivery Load,FALSE,0.75,1,0,0,0.016873,Peter Pan,Princess Leia
ABC7422786191,Mercury Logistics,M07,HAM05-L8E,Monsters Inc.,STONEY CREEK,L8E 6E3,Assigned to Delivery Load,FALSE,0.76,0,0,0,0.008976,Han Solo,Princess Leia
ABC7522775240,Mercury Logistics,M07,MIS324-L5L,Bilbo Baggins,MISSISSAUGA,L5L 2A8,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.002225,Indiana Jones,Princess Leia
ABC7522775394,Mercury Logistics,M07,BRA307-L6V,Walter White,BRAMPTON,L6V 2P2,Assigned to Delivery Load,FALSE,0.2,0,0,0,0.002225,Indiana Jones,Princess Leia
ABC7522775612,Mercury Logistics,M02,DUR916-L1C,Jon Snow,BOWMANVILLE,L1C 0S6,Assigned to Delivery Load,FALSE,0.2,0,0,0,0.001907,Vito Corleone,Luke Skywalker
ABC7522775965,Mercury Logistics,M07,HAM12-L8J,Marty McFly,STONEY CREEK,L8J 0C5,Assigned to Delivery Load,FALSE,0.9,0,0,0,0.003885,Han Solo,Princess Leia
ABC7522776381,Mercury Logistics,M05,SIM949-L0L,Tom Sawyer,ORO MEDONTE,L0L 1T0,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.00113,Darth Vader,Luke Skywalker
ABC7522781292,Mercury Logistics,M08,MIL01-L9T,Mary Poppins,MILTON,L9T 0X8,Assigned to Delivery Load,FALSE,1.45,0,0,0,0.003405,Peter Pan,Princess Leia
ABC7522781304,Mercury Logistics,M02,NEW11-L4P,Spectre,KESWICK,L4P 3C8,Assigned to Delivery Load,FALSE,0.46,0,0,0,0.007769,Darth Vader,Luke Skywalker
ABC7522784330,Mercury Logistics,M07,HAM05-L8G,Monsters Inc.,STONEY CREEK,L8G 5C7,Assigned to Delivery Load,FALSE,0.23,0,0,0,0.006845,Han Solo,Princess Leia
ABC7522785332,Mercury Logistics,M04,SIM947-L9X,Tom Sawyer,MIDHURST,L9X 0P7,Assigned to Delivery Load,FALSE,0.12,0,0,0,0.005039,Darth Vader,Luke Skywalker
ABC7522785450,Mercury Logistics,M03,DUR916-L1E,Jon Snow,COURTICE,L1E 2H2,Assigned to Delivery Load,FALSE,1.04,0,0,0,0.005185,Vito Corleone,Luke Skywalker
ABC7522785919,Mercury Logistics,M03,SIM953-L4M,1933 King Kong,BARRIE,L4M 4Z1,Assigned to Delivery Load,FALSE,0.64,0,0,0,0.012638,Darth Vader,Luke Skywalker
ABC7522786109,Mercury Logistics,M05,NEW11-L0G,Spectre,QUEENSVILLE,L0G 1R0,Assigned to Delivery Load,FALSE,0.08,0,0,0,0.001822,Darth Vader,Luke Skywalker
ABC7522786204,Mercury Logistics,M04,SIM941-L9R,1933 King Kong,ALLISTON,L9R 1J3,Assigned to Delivery Load,FALSE,0.78,0,0,0,0.00407,Darth Vader,Luke Skywalker
ABC7622775102,Mercury Logistics,M01,YOR09-L6E,Tony Montana,MARKHAM,L6E 1K1,Assigned to Delivery Load,FALSE,0.2,0,0,0,0.001907,Rocky Balboa,Luke Skywalker
ABC7622775194,Mercury Logistics,M08,MIL01-L9T,Mary Poppins,MILTON,L9T 7N1,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.00445,Peter Pan,Princess Leia
ABC7622775380,Mercury Logistics,M02,NEW14-L4G,Spectre,AURORA,L4G 0K5,Assigned to Delivery Load,FALSE,0.2,0,0,0,0.002225,Darth Vader,Luke Skywalker
ABC7622776329,Mercury Logistics,M01,YOR13-L3T,Tony Montana,MARKHAM,L3T 1S1,Assigned to Delivery Load,FALSE,0.4,0,0,0,0.00113,Rocky Balboa,Luke Skywalker
ABC7622776336,Mercury Logistics,M07,OAK06-L6H,Jay Gatsby,OAKVILLE,L6H 4R6,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.00113,Peter Pan,Princess Leia
ABC7622776560,Mercury Logistics,M01,XTO05-M8V,Harry Potter,TORONTO,M8V 0B1,Assigned to Delivery Load,FALSE,0.15,0,0,0,0.002472,Rocky Balboa,Luke Skywalker
ABC7622776577,Mercury Logistics,M03,SIM959-L4N,1933 King Kong,BARRIE,L4N 6S9,Assigned to Delivery Load,FALSE,0.5,0,0,0,0.002472,Darth Vader,Luke Skywalker
ABC7622776596,Mercury Logistics,M07,HAM05-L8K,Monsters Inc.,HAMILTON,L8K 3V1,Assigned to Delivery Load,FALSE,0.5,0,0,0,0.002472,Han Solo,Princess Leia
ABC7622781312,Mercury Logistics,M07,HAM05-L8E,Monsters Inc.,STONEY CREEK,L8E 0C9,Assigned to Delivery Load,FALSE,1.5,0,0,0,0.006645,Han Solo,Princess Leia
ABC7622785631,Mercury Logistics,M05,MUS06-P0A,Optimus Prime,DWIGHT,P0A 1H0,Assigned to Delivery Load,FALSE,0.11,0,0,0,0.001323,James Bond,Luke Skywalker
ABC7622785862,Mercury Logistics,M08,MIL01-L9E,Mary Poppins,MILTON,L9E 0A7,Assigned to Delivery Load,FALSE,0.36,0,0,0,0.008158,Peter Pan,Princess Leia
ABC7622785903,Mercury Logistics,M02,DUR916-L1C,Jon Snow,BOWMANVILLE,L1C 0M5,Assigned to Delivery Load,FALSE,0.39,0,0,0,0.009279,Vito Corleone,Luke Skywalker
ABC7622785905,Mercury Logistics,M03,DUR916-L1E,Jon Snow,COURTICE,L1E 2A6,Assigned to Delivery Load,FALSE,1.21,0,0,0,0.005401,Vito Corleone,Luke Skywalker
ABC7622786099,Mercury Logistics,M02,DUR912-L1L,Norman Bates,OSHAWA,L1L 0E8,Assigned to Delivery Load,FALSE,0.23,0,0,0,0.003859,Vito Corleone,Luke Skywalker
ABC7622786225,Mercury Logistics,M07,HAM05-L8G,Monsters Inc.,STONEY CREEK,L8G 4Z3,Assigned to Delivery Load,FALSE,1.4,0,0,0,0.015172,Han Solo,Princess Leia
ABC7722772767,Mercury Logistics,M01,XTO05-M8V,Harry Potter,TORONTO,M8V 1M6,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.000989,Rocky Balboa,Luke Skywalker
ABC7722775518,Mercury Logistics,M08,NIA05-L2M,Katniss Everdeen,ST CATHARINES,L2M 1S4,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.001907,Mickey Mouse,Princess Leia
ABC7722776328,Mercury Logistics,M02,DUR912-L1G,Norman Bates,OSHAWA,L1G 6T4,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.00113,Vito Corleone,Luke Skywalker
ABC7722776378,Mercury Logistics,M08,KIT08-N2L,Sherlock Holmes,WATERLOO,N2L 3W3,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.00113,Dorothy Gale,Princess Leia
ABC7722776384,Mercury Logistics,M03,SIM959-L4N,1933 King Kong,BARRIE,L4N 6K8,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.00113,Darth Vader,Luke Skywalker
ABC7722776531,Mercury Logistics,M01,YOR35-L6A,Tony Montana,MAPLE,L6A 3E2,Assigned to Delivery Load,FALSE,0.32,0,0,0,0.000035,Rocky Balboa,Luke Skywalker
ABC7722776553,Mercury Logistics,M01,YOR07-L6B,Tony Montana,MARKHAM,L6B 1H2,Assigned to Delivery Load,FALSE,0.25,0,0,0,0.002472,Rocky Balboa,Luke Skywalker
ABC7722776595,Mercury Logistics,M07,MIS336-L5J,Hannibal Lector,MISSISSAUGA,L5J 1M5,Assigned to Delivery Load,FALSE,0.15,0,0,0,0.002472,Indiana Jones,Princess Leia
ABC7722781286,Mercury Logistics,M05,SIM941-L0M,1933 King Kong,DUNTROON,L0M 1H0,Assigned to Delivery Load,FALSE,1.21,1,0,0,0.00608,Darth Vader,Luke Skywalker
ABC7722781498,Mercury Logistics,M09,GEO10-L7G,Mary Poppins,GEORGETOWN,L7G 0B2,Assigned to Delivery Load,FALSE,0.38,0,0,0,0.007262,Peter Pan,Princess Leia
ABC7722784155,Mercury Logistics,M07,HAM05-L8E,Monsters Inc.,HAMILTON,L8E 1J7,Assigned to Delivery Load,FALSE,0.46,0,0,0,0.007394,Han Solo,Princess Leia
ABC7722784204,Mercury Logistics,M05,MUS40-P1H,Optimus Prime,HUNTSVILLE,P1H 2C7,Assigned to Delivery Load,FALSE,0.85,0,0,0,0.010506,James Bond,Luke Skywalker
ABC7722785299,Mercury Logistics,M08,MIL01-L9T,Mary Poppins,MILTON,L9T 2V2,Assigned to Delivery Load,FALSE,2.14,0,0,0,0.009646,Peter Pan,Princess Leia
ABC7722785867,Mercury Logistics,M03,SIM955-L9S,1933 King Kong,INNISFIL,L9S 4S9,Assigned to Delivery Load,FALSE,0.74,0,0,0,0.004662,Darth Vader,Luke Skywalker
ABC7822783454,Mercury Logistics,M08,MIL01-L9T,Mary Poppins,MILTON,L9T 0P6,Assigned to Delivery Load,FALSE,0.48,0,0,0,0.008976,Peter Pan,Princess Leia
ABC7922786036,Mercury Logistics,M09,GEO10-L7G,Mary Poppins,GEORGETOWN,L7G 6L9,Assigned to Delivery Load,FALSE,0.31,0,0,0,0.007394,Peter Pan,Princess Leia
ABC7922786127,Mercury Logistics,M07,HAM05-L8E,Monsters Inc.,HAMILTON,L8E 1J7,Assigned to Delivery Load,FALSE,0.59,0,0,0,0.005882,Han Solo,Princess Leia
ABC8022776581,Mercury Logistics,M07,HAM16-L8M,Monsters Inc.,HAMILTON,L8M 2H7,Assigned to Delivery Load,FALSE,0.55,0,0,0,0.002472,Han Solo,Princess Leia
ABC7722786112,Mercury Logistics,M04,SIM943-L9X,Tom Sawyer,MINESING,L9X 0H3,Assigned to Delivery Load,FALSE,1.06,0,0,0,0.009523,Darth Vader,Luke Skywalker
ABC7722786221,Mercury Logistics,M03,DUR916-L1E,Jon Snow,COURTICE,L1E 2B6,Assigned to Delivery Load,FALSE,0.41,0,0,0,0.006729,Vito Corleone,Luke Skywalker
ABC7822775099,Mercury Logistics,M01,TOR81-M5M,Fred Flintstone,TORONTO,M5M 1V7,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.001907,Rocky Balboa,Luke Skywalker
ABC7822775397,Mercury Logistics,M01,TOR89-M5V,Fred Flintstone,TORONTO,M5V 3N8,Assigned to Delivery Load,FALSE,0.2,0,0,0,0.002225,Rocky Balboa,Luke Skywalker
ABC7822775428,Mercury Logistics,M01,SCA10-M1G,Charles Foster Kane,SCARBOROUGH,M1G 3T8,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.001907,Rocky Balboa,Luke Skywalker
ABC7822775561,Mercury Logistics,M07,HAM12-L8V,Marty McFly,HAMILTON,L8V 2T3,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.001907,Han Solo,Princess Leia
ABC7822776518,Mercury Logistics,M01,YOR25-L4E,Tony Montana,RICHMOND HILL,L4E 3K6,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.004591,Rocky Balboa,Luke Skywalker
ABC7822776548,Mercury Logistics,M03,YOR20-L4A,Tony Montana,WHITCHURCH-STOUFFVILLE,L4A 7X4,Assigned to Delivery Load,FALSE,0.25,0,0,0,0.002472,Rocky Balboa,Luke Skywalker
ABC7822776556,Mercury Logistics,M02,DUR908-L1N,John McClane,WHITBY,L1N 6Z8,Assigned to Delivery Load,FALSE,0.25,0,0,0,0.002472,Vito Corleone,Luke Skywalker
ABC7822776589,Mercury Logistics,M07,HAM09-L9K,Marty McFly,HAMILTON,L9K 1H8,Assigned to Delivery Load,FALSE,0.5,1,0,0,0.00565,Han Solo,Princess Leia
ABC7822785443,Mercury Logistics,M05,MUS10-P1L,Huckleberry Finn,BRACEBRIDGE,P1L 1R9,Assigned to Delivery Load,FALSE,0.27,0,0,0,0.002995,James Bond,Luke Skywalker
ABC7822785851,Mercury Logistics,M03,YOR40-L0J,Tony Montana,KLEINBURG,L0J 1C0,Assigned to Delivery Load,FALSE,0.05,0,0,0,0.002585,Rocky Balboa,Luke Skywalker
ABC7922776557,Mercury Logistics,M08,GUE04-N1G,Willy Wonka,GUELPH,N1G 3J4,Assigned to Delivery Load,FALSE,0.25,0,0,0,0.002472,Homer Simpson,Princess Leia
ABC7922776559,Mercury Logistics,M01,TOR89-M5V,Fred Flintstone,TORONTO,M5V 3W6,Assigned to Delivery Load,FALSE,0.75,0,0,0,0.002472,Rocky Balboa,Luke Skywalker
ABC7922776579,Mercury Logistics,M07,HAM10-L9B,Marty McFly,HAMILTON,L9B 2E8,Assigned to Delivery Load,FALSE,0.5,0,0,0,0.002472,Han Solo,Princess Leia
ABC7922781294,Mercury Logistics,M05,SIM946-L0L,Tom Sawyer,PHELPSTON,L0L 2K0,Assigned to Delivery Load,FALSE,1.06,0,0,0,0.009103,Darth Vader,Luke Skywalker
ABC7922781576,Mercury Logistics,M03,SIM955-L9S,1933 King Kong,INNISFIL,L9S 0N7,Assigned to Delivery Load,FALSE,1.69,1,0,0,0.009079,Darth Vader,Luke Skywalker
ABC7922783896,Mercury Logistics,M03,SIM951-L4N,1933 King Kong,BARRIE,L4N 7N9,Assigned to Delivery Load,FALSE,1.78,0,0,0,0.008548,Darth Vader,Luke Skywalker
ABC7922783977,Mercury Logistics,M02,DUR908-L1P,John McClane,WHITBY,L1P 0G2,Assigned to Delivery Load,FALSE,0.29,0,0,0,0.002876,Vito Corleone,Luke Skywalker
ABC7922784231,Mercury Logistics,M03,SIM951-L4N,1933 King Kong,BARRIE,L4N 0C9,Assigned to Delivery Load,FALSE,0.48,0,0,0,0.004078,Darth Vader,Luke Skywalker
ABC7922786105,Mercury Logistics,M03,DUR916-L1E,Jon Snow,COURTICE,L1E 2G2,Assigned to Delivery Load,FALSE,0.76,1,0,0,0.007761,Vito Corleone,Luke Skywalker
ABC8022776363,Mercury Logistics,M02,DUR908-L1N,John McClane,WHITBY,L1N 9N6,Assigned to Delivery Load,FALSE,0.35,0,0,0,0.00113,Vito Corleone,Luke Skywalker
ABC8022776603,Mercury Logistics,M01,XTO15-M9A,Harry Potter,TORONTO,M9A 4W3,Assigned to Delivery Load,FALSE,0.5,0,0,0,0.002472,Rocky Balboa,Luke Skywalker
ABC8022785624,Mercury Logistics,M02,NEW11-L4P,Spectre,KESWICK,L4P 3P4,Assigned to Delivery Load,FALSE,0.29,0,0,0,0.00737,Darth Vader,Luke Skywalker
ABC7122774971,Mercury Logistics,M02,DUR912-L1L,Norman Bates,OSHAWA,L1L 0H6,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.001907,Vito Corleone,Luke Skywalker
ABC7122775018,Mercury Logistics,M08,GUE04-N1K,Willy Wonka,GUELPH,N1K 0B5,Assigned to Delivery Load,FALSE,0.2,0,0,0,0.001907,Homer Simpson,Princess Leia
ABC7122775502,Mercury Logistics,M02,DUR904-L1V,Ellen Ripley,PICKERING,L1V 2Z7,Assigned to Delivery Load,FALSE,0.3,0,0,0,0.001907,Vito Corleone,Luke Skywalker
ABC7122775632,Mercury Logistics,M01,XTO15-M9P,Harry Potter,TORONTO,M9P 0A1,Assigned to Delivery Load,FALSE,0.5,0,0,0,0.002331,Rocky Balboa,Luke Skywalker
ABC7122775690,Mercury Logistics,M01,TOR71-M6S,Fred Flintstone,TORONTO,M6S 1Z7,Assigned to Delivery Load,FALSE,0.4,0,0,0,0.001907,Rocky Balboa,Luke Skywalker
ABC7122776212,Mercury Logistics,M08,NIA05-L2M,Katniss Everdeen,ST CATHARINES,L2M 1E1,Assigned to Delivery Load,FALSE,0.24,1,0,0,0.00678,Mickey Mouse,Princess Leia
